timestamp,pump_id,temperature_C,pressure_bar,flow_m3h,power_kW,rpm,vibration_mms,operating_hours,status
2026-01-01 07:15:00,P-104,63.15,5.069,222.06,31.65,1471.1,2.025,2500.44,Normal
2026-01-01 07:30:00,P-104,64.39,5.443,236.33,51.66,1474.5,5.539,2500.45,Normal
2026-01-01 07:45:00,P-103,62.85,5.215,215.24,31.88,1437.5,2.078,2500.46,Normal
2026-01-01 08:00:00,P-104,62.8,4.901,222.93,31.0,1453.6,2.367,2500.48,Normal
2026-01-01 08:15:00,P-103,66.07,5.003,229.09,31.01,1456.0,2.032,2500.5,Normal
2026-01-01 08:30:00,P-104,61.28,5.42,240.15,33.16,1419.3,1.96,2500.51,Normal
2026-01-01 08:45:00,P-102,59.99,5.242,241.83,34.55,1452.8,2.138,2500.52,Normal
2026-01-01 09:00:00,P-103,60.3,5.185,216.78,33.76,1452.5,1.872,2500.54,Normal
2026-01-01 09:15:00,P-102,60.59,5.233,214.6,31.11,1463.4,2.582,2500.55,Normal
2026-01-01 09:30:00,P-102,60.18,4.962,230.4,31.47,1439.7,2.397,2500.57,Normal
2026-01-01 09:45:00,P-104,64.05,5.152,246.29,33.08,1472.5,2.393,2500.58,Normal
2026-01-01 10:00:00,P-101,66.86,5.244,242.58,36.09,1451.4,2.316,2500.6,Normal
2026-01-01 10:15:00,P-102,67.5,5.418,237.4,34.74,1480.8,2.144,2500.61,Normal
2026-01-01 10:30:00,P-104,64.32,5.294,236.39,31.67,1463.4,2.081,2500.63,Normal
2026-01-01 10:45:00,P-102,68.92,5.345,241.37,35.83,1455.0,2.125,2500.64,Normal
2026-01-01 11:00:00,P-103,63.51,5.237,242.81,34.62,1428.7,2.589,2500.66,Normal
2026-01-01 11:15:00,P-104,60.98,5.402,229.05,34.04,1426.2,2.135,2500.68,Normal
2026-01-01 11:30:00,P-104,67.65,5.31,245.69,37.21,1478.8,2.109,2500.69,Normal
2026-01-01 11:45:00,P-104,60.88,5.341,247.66,34.62,1465.8,2.154,2500.7,Normal
2026-01-01 12:00:00,P-101,63.85,5.423,245.24,33.96,1444.9,2.294,2500.72,Normal
2026-01-01 12:15:00,P-103,66.27,5.461,242.25,35.91,1442.5,1.537,2500.74,Normal
2026-01-01 12:30:00,P-104,65.26,5.269,239.36,34.11,1454.0,2.247,2500.75,Normal
2026-01-01 12:45:00,P-103,65.53,5.26,242.26,39.28,1425.8,1.737,2500.76,Normal
2026-01-01 13:00:00,P-104,61.62,5.267,231.15,31.46,1441.6,2.331,2500.78,Normal
2026-01-01 13:15:00,P-102,65.36,5.374,229.7,31.41,1461.0,1.821,2500.8,Normal
2026-01-01 13:30:00,P-104,67.59,5.124,227.4,35.55,1463.4,1.974,2500.81,Normal
2026-01-01 13:45:00,P-104,65.39,5.034,226.79,32.96,1443.4,1.758,2500.82,Normal
2026-01-01 14:00:00,P-104,63.96,5.337,231.53,33.79,1478.8,2.444,2500.84,Normal
2026-01-01 14:15:00,P-104,64.74,5.144,237.11,36.85,1468.8,2.217,2500.86,Normal
2026-01-01 14:30:00,P-103,63.67,4.915,228.4,30.48,1436.2,,2500.87,Normal
2026-01-01 14:45:00,P-103,68.05,5.24,238.03,32.45,1427.0,2.531,2500.89,Normal
2026-01-01 15:00:00,P-103,65.63,5.022,220.14,32.67,1460.7,2.231,2500.9,Normal
2026-01-01 15:15:00,P-102,64.38,4.991,215.21,30.45,1441.9,1.826,2500.92,Normal
2026-01-01 15:30:00,P-104,61.77,5.176,232.95,34.88,1438.5,2.129,2500.93,Normal
2026-01-01 15:45:00,P-101,67.98,5.205,237.52,34.0,1454.0,2.361,2500.95,Normal
2026-01-01 16:00:00,P-104,65.22,5.111,232.69,33.51,1462.9,2.183,2500.96,Normal
2026-01-01 16:15:00,P-103,68.79,5.405,229.89,32.58,1464.3,2.041,2500.98,Normal
2026-01-01 16:30:00,P-102,64.58,5.094,223.17,33.69,1451.0,2.091,2500.99,Normal
2026-01-01 16:45:00,P-103,63.96,5.151,222.75,29.6,1408.7,2.091,2501.0,Normal
2026-01-01 17:00:00,P-101,67.63,4.942,228.35,31.52,1467.2,1.812,2501.02,Normal
2026-01-01 17:15:00,P-103,71.5,4.83,218.49,31.06,1435.5,1.902,2501.04,Normal
2026-01-01 17:30:00,P-104,66.93,4.946,213.24,27.39,1455.6,2.045,2501.05,Normal
2026-01-01 17:45:00,P-101,65.65,5.108,208.32,26.9,1447.8,2.081,2501.06,Normal
2026-01-01 18:00:00,P-102,66.26,4.766,200.66,28.07,1490.4,1.969,2501.08,Normal
2026-01-01 18:15:00,P-103,62.81,5.014,221.07,30.93,1487.0,1.925,2501.09,Normal
2026-01-01 18:30:00,P-103,63.78,4.799,209.58,31.47,1441.7,1.93,2501.11,Normal
2026-01-01 18:45:00,P-104,61.11,4.893,213.28,32.29,1425.8,1.851,2501.12,Normal
2026-01-01 19:00:00,P-103,69.32,4.885,202.85,25.55,1427.2,1.889,2501.14,Normal
2026-01-01 19:15:00,P-103,69.28,4.838,210.45,29.58,1454.9,2.085,2501.16,Normal
2026-01-01 19:30:00,P-104,,4.766,216.68,27.6,1440.3,2.386,2501.17,Normal
2026-01-01 19:45:00,P-102,65.52,4.663,198.87,25.9,1430.0,1.665,2501.18,Normal
2026-01-01 20:00:00,P-101,62.35,4.65,212.3,27.3,1440.6,2.145,2501.2,Normal
2026-01-01 20:15:00,P-104,64.12,4.818,193.86,25.23,1458.1,1.909,2501.22,Normal
2026-01-01 20:30:00,P-103,68.65,4.845,201.2,24.88,1448.6,1.56,2501.23,Normal
2026-01-01 20:45:00,P-103,64.81,4.829,193.77,23.12,1441.3,,2501.24,Normal
2026-01-01 21:00:00,P-102,62.37,4.562,182.42,26.2,1443.6,1.748,2501.26,Normal
2026-01-01 21:15:00,P-104,61.08,4.932,207.27,27.89,1447.1,1.874,2501.28,Normal
2026-01-01 21:30:00,P-101,66.94,4.798,185.8,25.14,1454.0,1.998,2501.29,Normal
2026-01-01 21:45:00,P-101,64.0,4.748,188.5,24.56,1455.1,2.187,2501.3,Normal
2026-01-01 22:00:00,P-104,60.53,4.761,188.5,27.76,1420.3,2.086,2501.32,Normal
2026-01-01 22:15:00,P-101,62.14,4.69,200.07,26.01,1453.0,1.884,2501.34,Normal
2026-01-01 22:30:00,P-101,61.37,4.803,202.39,25.61,1443.5,1.912,2501.35,Normal
2026-01-01 22:45:00,P-104,63.02,,189.87,23.06,1431.8,2.178,2501.36,Normal
2026-01-01 23:00:00,P-102,63.29,4.808,179.93,25.11,1443.3,1.59,2501.38,Normal
2026-01-01 23:15:00,P-104,61.85,4.667,187.28,24.5,1470.8,2.022,2501.4,Normal
2026-01-01 23:30:00,P-101,63.04,4.615,172.28,22.81,1464.6,1.494,2501.41,Normal
2026-01-01 23:45:00,P-101,61.54,4.438,170.46,23.02,1451.7,1.439,2501.43,Normal
2026-01-02 00:00:00,P-103,63.65,4.669,174.14,23.75,1433.9,1.834,2501.44,Normal
2026-01-02 00:15:00,P-104,60.65,4.511,181.85,23.73,1425.5,1.442,2501.46,Normal
2026-01-02 00:30:00,P-102,69.23,4.821,187.98,25.22,1433.0,1.755,2501.47,Normal
2026-01-02 00:45:00,P-103,59.96,4.98,181.96,24.35,1450.2,1.996,2501.48,Normal
2026-01-02 01:00:00,P-101,59.54,4.607,176.34,25.67,1450.6,1.619,2501.5,Normal
2026-01-02 01:15:00,P-102,60.64,5.182,207.93,29.03,1438.3,2.211,2501.52,Normal
2026-01-02 01:30:00,P-103,60.81,4.747,184.49,23.4,1465.8,1.386,2501.53,Normal
2026-01-02 01:45:00,P-101,58.36,4.704,200.49,27.87,1456.9,2.051,2501.54,Normal
2026-01-02 02:00:00,P-101,61.17,4.557,184.06,22.24,1402.3,1.519,2501.56,Normal
2026-01-02 02:15:00,P-103,56.88,5.011,191.99,26.61,1452.0,1.783,2501.57,Normal
2026-01-02 02:30:00,P-101,60.67,4.729,179.12,23.74,1463.6,1.819,2501.59,Normal
2026-01-02 02:45:00,P-101,57.81,4.669,187.04,26.56,1453.6,1.774,2501.6,Normal
2026-01-02 03:00:00,P-101,60.93,4.83,197.99,29.37,1460.5,1.857,2501.62,Normal
2026-01-02 03:15:00,P-103,60.73,4.688,181.81,24.17,1445.3,1.497,2501.64,Normal
2026-01-02 03:30:00,P-103,66.37,4.844,207.4,27.41,1448.8,2.151,2501.65,Normal
2026-01-02 03:45:00,P-104,58.72,4.883,202.63,27.29,1449.2,1.673,2501.66,Normal
2026-01-02 04:00:00,P-101,59.98,4.994,190.47,25.81,1453.3,1.633,2501.68,Normal
2026-01-02 04:15:00,P-103,57.95,4.585,189.81,26.69,1439.6,1.796,2501.7,Normal
2026-01-02 04:30:00,P-104,58.99,4.951,202.97,27.83,1469.7,1.79,2501.71,Normal
2026-01-02 04:45:00,P-104,58.8,4.827,198.17,24.69,1475.6,2.041,2501.72,Normal
2026-01-02 05:00:00,P-103,62.9,4.861,207.69,29.87,1440.4,1.851,2501.74,Normal
2026-01-02 05:15:00,P-103,59.86,5.048,211.42,29.77,1429.0,1.946,2501.76,Normal
2026-01-02 05:30:00,P-101,67.36,4.904,218.63,31.72,1425.8,2.073,2501.77,Normal
2026-01-02 05:45:00,P-103,61.73,4.647,206.93,28.03,1457.3,2.129,2501.78,Normal
2026-01-02 06:00:00,P-101,57.96,4.905,208.72,26.65,1460.6,1.824,2501.8,Normal
2026-01-02 06:15:00,P-102,60.54,4.987,217.69,29.35,1457.4,1.702,2501.82,Normal
2026-01-02 06:30:00,P-102,59.71,4.863,223.69,30.92,1458.9,1.871,2501.83,Normal
2026-01-02 06:45:00,P-103,64.37,4.94,235.47,30.69,1439.8,2.301,2501.84,Normal
2026-01-02 07:00:00,P-104,58.65,5.347,218.74,32.85,1414.2,2.139,2501.86,Normal
2026-01-02 07:15:00,P-104,59.0,5.144,224.59,31.94,1441.0,1.993,2501.88,Normal
2026-01-02 07:30:00,P-104,61.77,5.207,231.25,35.59,1479.8,2.148,2501.89,Normal
2026-01-02 07:45:00,P-101,62.33,5.246,207.4,30.75,1454.8,1.94,2501.91,Normal
2026-01-02 08:00:00,P-101,64.19,5.17,215.4,30.22,1457.6,2.173,2501.92,Normal
2026-01-02 08:15:00,P-101,64.41,5.249,216.85,28.86,1466.3,2.085,2501.94,Normal
2026-01-02 08:30:00,P-104,63.18,4.958,222.63,31.06,1434.9,2.016,2501.95,Normal
2026-01-02 08:45:00,P-103,61.12,4.878,214.18,32.32,1454.0,2.181,2501.96,Normal
2026-01-02 09:00:00,P-103,65.03,5.292,234.92,34.65,1459.2,2.357,2501.98,Normal
2026-01-02 09:15:00,P-104,60.17,5.203,241.26,33.77,1433.2,1.937,2502.0,Normal
2026-01-02 09:30:00,P-102,57.69,5.202,211.13,30.41,1456.5,1.872,2502.01,Normal
2026-01-02 09:45:00,P-102,63.3,4.907,230.14,32.7,1473.3,2.501,2502.02,Normal
2026-01-02 10:00:00,P-103,61.51,5.316,236.18,32.74,1442.8,2.267,2502.04,Normal
2026-01-02 10:15:00,P-102,64.24,5.406,239.17,36.77,1419.0,2.492,2502.05,Normal
2026-01-02 10:30:00,P-101,65.87,5.511,241.5,36.47,1453.1,,2502.07,Normal
2026-01-02 10:45:00,P-104,67.17,5.439,263.54,37.3,1438.2,2.408,2502.08,Normal
2026-01-02 11:00:00,P-104,66.62,5.33,232.37,37.98,1453.3,1.794,2502.1,Normal
2026-01-02 11:15:00,P-102,65.31,5.053,232.5,33.08,1434.8,1.877,2502.11,Normal
2026-01-02 11:30:00,P-101,63.06,5.011,227.91,31.19,1451.1,2.148,2502.13,Normal
2026-01-02 11:45:00,P-102,64.0,5.138,232.74,32.93,1472.1,2.013,2502.14,Normal
2026-01-02 12:00:00,P-102,64.41,5.076,236.14,34.07,1449.5,2.085,2502.16,Normal
2026-01-02 12:15:00,P-102,63.38,5.173,233.65,35.05,1420.3,2.299,2502.18,Normal
2026-01-02 12:30:00,P-104,64.25,5.124,221.27,33.38,1456.8,2.146,2502.19,Normal
2026-01-02 12:45:00,P-103,71.02,5.131,229.34,35.44,1450.4,2.22,2502.2,Normal
2026-01-02 13:00:00,P-104,66.89,5.171,245.84,37.82,1453.8,2.468,2502.22,Normal
2026-01-02 13:15:00,P-101,66.8,5.475,238.99,35.35,1467.5,2.428,2502.24,Normal
2026-01-02 13:30:00,P-101,64.11,5.145,225.9,31.45,1440.5,2.127,2502.25,Normal
2026-01-02 13:45:00,P-102,67.24,5.159,226.06,31.03,1444.8,2.309,2502.26,Normal
2026-01-02 14:00:00,P-101,66.2,4.842,223.99,33.22,1431.5,1.862,2502.28,Normal
2026-01-02 14:15:00,P-103,67.39,5.314,233.81,33.11,1453.5,2.141,2502.3,Normal
2026-01-02 14:30:00,P-101,66.66,5.199,229.38,33.66,1453.0,2.221,2502.31,Normal
2026-01-02 14:45:00,P-101,70.18,5.279,247.64,35.52,1445.3,2.202,2502.32,Normal
2026-01-02 15:00:00,P-101,69.3,5.12,236.19,32.66,1463.4,2.075,2502.34,Normal
2026-01-02 15:15:00,P-102,67.95,5.341,240.94,46.45,1431.3,7.17,2502.36,Normal
2026-01-02 15:30:00,P-102,65.79,4.735,227.65,33.66,1452.3,2.053,2502.37,Normal
2026-01-02 15:45:00,P-102,67.43,4.914,216.79,31.42,1460.8,1.719,2502.39,Normal
2026-01-02 16:00:00,P-102,63.69,,216.19,31.21,1440.2,1.988,2502.4,Normal
2026-01-02 16:15:00,P-101,64.33,5.008,218.57,31.41,1425.3,2.027,2502.42,Normal
2026-01-02 16:30:00,P-101,68.36,5.566,235.46,35.12,1419.5,2.311,2502.43,Normal
2026-01-02 16:45:00,P-104,61.98,4.942,218.99,28.47,1452.8,1.777,2502.45,Normal
2026-01-02 17:00:00,P-101,69.1,5.234,217.92,30.64,1480.5,2.138,2502.46,Normal
2026-01-02 17:15:00,P-102,63.55,5.159,207.11,30.75,1439.0,2.063,2502.48,Normal
2026-01-02 17:30:00,P-101,66.23,5.17,222.98,31.82,1458.1,2.055,2502.49,Normal
2026-01-02 17:45:00,P-102,66.25,4.941,219.39,31.2,1406.3,2.095,2502.5,Normal
2026-01-02 18:00:00,P-103,66.24,4.802,214.25,29.68,1456.7,2.019,2502.52,Normal
2026-01-02 18:15:00,P-103,65.42,5.038,217.74,29.61,1430.4,1.498,2502.54,Normal
2026-01-02 18:30:00,P-104,65.38,5.073,204.01,28.42,1442.9,1.751,2502.55,Normal
2026-01-02 18:45:00,P-101,66.28,5.023,207.51,30.29,1451.4,2.357,2502.56,Normal
2026-01-02 19:00:00,P-103,64.51,5.007,201.37,26.79,1420.1,2.024,2502.58,Normal
2026-01-02 19:15:00,P-103,62.97,5.084,192.59,27.65,1506.6,1.74,2502.59,Normal
2026-01-02 19:30:00,P-101,66.87,4.852,194.84,24.98,1439.1,1.9,2502.61,Normal
2026-01-02 19:45:00,P-101,61.03,4.734,197.39,28.12,1460.9,2.039,2502.62,Normal
2026-01-02 20:00:00,P-103,66.32,4.983,212.03,28.39,1476.9,2.262,2502.64,Normal
2026-01-02 20:15:00,P-103,64.31,4.999,207.93,27.08,1455.3,1.82,2502.66,Normal
2026-01-02 20:30:00,P-101,65.85,4.765,197.1,25.81,1427.9,1.756,2502.67,Normal
2026-01-02 20:45:00,P-101,61.92,4.998,193.02,27.02,1451.8,1.789,2502.68,Normal
2026-01-02 21:00:00,P-101,64.76,,203.82,29.25,1416.9,1.828,2502.7,Normal
2026-01-02 21:15:00,P-104,64.48,4.827,184.29,26.56,1444.0,1.749,2502.72,Normal
2026-01-02 21:30:00,P-101,66.31,4.677,188.93,27.67,1480.2,1.846,2502.73,Normal
2026-01-02 21:45:00,P-104,65.87,4.864,209.04,28.42,1424.6,1.821,2502.74,Normal
2026-01-02 22:00:00,P-101,61.74,4.8,188.42,25.99,1435.2,1.839,2502.76,Normal
2026-01-02 22:15:00,P-104,64.08,4.673,195.44,27.73,1483.4,2.248,2502.78,Normal
2026-01-02 22:30:00,P-103,65.7,4.684,187.63,26.07,1446.9,1.652,2502.79,Normal
2026-01-02 22:45:00,P-104,59.66,4.456,183.32,24.27,1433.9,1.797,2502.8,Normal
2026-01-02 23:00:00,P-102,61.81,4.537,185.58,21.65,1457.0,1.52,2502.82,Normal
2026-01-02 23:15:00,P-103,64.5,4.758,203.84,28.39,1441.6,2.069,2502.84,Normal
2026-01-02 23:30:00,P-102,63.55,4.979,195.5,26.24,1401.1,2.106,2502.85,Normal
2026-01-02 23:45:00,P-101,68.44,4.807,185.96,25.39,1425.5,1.633,2502.86,Normal
2026-01-03 00:00:00,P-103,61.25,4.733,193.29,25.75,1487.0,1.652,2502.88,Normal
2026-01-03 00:15:00,P-101,64.64,4.68,198.06,27.6,1455.9,2.008,2502.9,Normal
2026-01-03 00:30:00,P-102,59.49,4.591,179.28,20.61,1476.3,1.686,2502.91,Normal
2026-01-03 00:45:00,P-101,62.37,4.463,181.8,21.62,1431.5,2.005,2502.93,Normal
2026-01-03 01:00:00,P-103,64.36,4.749,185.92,26.8,1449.0,1.628,2502.94,Normal
2026-01-03 01:15:00,P-104,60.08,4.757,190.55,21.7,1447.0,1.98,2502.96,Normal
2026-01-03 01:30:00,P-101,61.47,4.839,193.61,26.07,1440.1,2.216,2502.97,Normal
2026-01-03 01:45:00,P-104,59.36,4.77,178.74,26.4,1453.8,1.879,2502.98,Normal
2026-01-03 02:00:00,P-102,59.15,4.918,186.95,27.48,1429.9,1.73,2503.0,Normal
2026-01-03 02:15:00,P-101,64.81,4.903,198.43,27.65,1471.8,1.775,2503.02,Normal
2026-01-03 02:30:00,P-104,60.03,4.736,197.1,26.6,1458.4,1.813,2503.03,Normal
2026-01-03 02:45:00,P-101,56.35,4.93,195.2,27.37,1446.9,2.005,2503.04,Normal
2026-01-03 03:00:00,P-103,63.05,4.703,179.84,21.5,1452.4,1.461,2503.06,Normal
2026-01-03 03:15:00,P-101,59.15,4.725,194.62,27.37,1444.6,1.803,2503.07,Normal
2026-01-03 03:30:00,P-101,,4.775,190.58,27.17,1419.0,1.844,2503.09,Normal
2026-01-03 03:45:00,P-104,63.39,4.675,190.92,26.0,1432.2,2.087,2503.1,Normal
2026-01-03 04:00:00,P-102,59.75,4.515,193.99,25.34,1446.8,2.172,2503.12,Normal
2026-01-03 04:15:00,P-102,60.18,4.873,198.45,27.93,1443.6,1.857,2503.14,Normal
2026-01-03 04:30:00,P-104,58.96,4.794,211.97,30.86,1461.7,1.767,2503.15,Normal
2026-01-03 04:45:00,P-104,56.06,4.803,194.44,27.47,1460.1,1.868,2503.16,Normal
2026-01-03 05:00:00,P-101,60.54,4.719,205.05,29.72,1439.9,1.967,2503.18,Normal
2026-01-03 05:15:00,P-104,61.28,4.787,201.27,26.06,1432.8,2.129,2503.2,Normal
2026-01-03 05:30:00,P-102,61.34,4.853,215.72,29.0,1463.6,1.857,2503.21,Normal
2026-01-03 05:45:00,P-104,60.87,5.187,216.69,31.77,1453.4,1.85,2503.22,Normal
2026-01-03 06:00:00,P-102,61.63,4.954,223.52,31.8,1438.8,2.01,2503.24,Normal
2026-01-03 06:15:00,P-103,58.35,4.979,221.48,32.83,1429.4,2.011,2503.26,Normal
2026-01-03 06:30:00,P-104,62.15,5.035,218.26,31.93,1437.8,1.928,2503.27,Normal
2026-01-03 06:45:00,P-101,61.11,4.934,220.26,27.31,1457.1,1.817,2503.28,Normal
2026-01-03 07:00:00,P-101,65.64,5.115,215.12,31.25,1480.4,1.787,2503.3,Normal
2026-01-03 07:15:00,P-101,61.86,4.957,218.87,32.24,1446.2,2.162,2503.32,Normal
2026-01-03 07:30:00,P-102,59.84,5.115,221.03,32.94,1435.0,,2503.33,Normal
2026-01-03 07:45:00,P-104,60.81,5.288,214.15,31.92,1488.8,1.85,2503.34,Normal
2026-01-03 08:00:00,P-104,61.41,5.084,226.98,31.24,1443.3,2.223,2503.36,Normal
2026-01-03 08:15:00,P-103,63.37,5.163,227.68,34.63,1435.7,1.762,2503.38,Normal
2026-01-03 08:30:00,P-102,64.69,5.162,245.99,38.07,1442.7,,2503.39,Normal
2026-01-03 08:45:00,P-103,61.46,5.215,253.83,36.0,1441.8,2.25,2503.41,Normal
2026-01-03 09:00:00,P-104,58.34,5.139,221.71,30.68,1472.9,2.255,2503.42,Normal
2026-01-03 09:15:00,P-103,63.21,5.108,225.39,33.18,1419.9,1.998,2503.44,Normal
2026-01-03 09:30:00,P-103,,5.126,223.96,31.52,1460.7,2.237,2503.45,Normal
2026-01-03 09:45:00,P-102,62.9,5.192,232.19,33.25,1449.8,1.977,2503.46,Normal
2026-01-03 10:00:00,P-104,65.51,5.074,243.35,33.82,1440.0,2.303,2503.48,Normal
2026-01-03 10:15:00,P-103,66.94,5.443,254.04,37.03,1444.0,2.517,2503.5,Normal
2026-01-03 10:30:00,P-103,63.75,5.005,230.83,32.59,1445.5,1.923,2503.51,Normal
2026-01-03 10:45:00,P-104,61.62,5.075,228.85,34.78,1451.6,2.138,2503.52,Normal
2026-01-03 11:00:00,P-103,62.68,5.065,208.93,32.96,1441.9,2.122,2503.54,Normal
2026-01-03 11:15:00,P-101,66.88,5.408,230.49,33.36,1448.8,1.923,2503.55,Normal
2026-01-03 11:30:00,P-103,64.76,5.022,229.07,32.92,1436.0,2.173,2503.57,Normal
2026-01-03 11:45:00,P-101,65.9,5.209,226.67,34.96,1489.3,2.026,2503.58,Normal
2026-01-03 12:00:00,P-101,63.09,5.18,221.84,33.54,1468.2,1.956,2503.6,Normal
2026-01-03 12:15:00,P-101,64.54,5.31,236.5,32.92,1458.8,2.078,2503.61,Normal
2026-01-03 12:30:00,P-101,63.39,5.222,226.17,32.72,1442.0,1.964,2503.63,Normal
2026-01-03 12:45:00,P-104,63.95,5.054,223.19,31.39,1464.8,2.213,2503.64,Normal
2026-01-03 13:00:00,P-101,70.02,5.544,258.21,38.57,1455.4,2.281,2503.66,Normal
2026-01-03 13:15:00,P-103,59.35,5.269,228.15,31.05,1452.1,2.489,2503.68,Normal
2026-01-03 13:30:00,P-104,64.88,5.335,231.81,33.4,1440.4,1.984,2503.69,Normal
2026-01-03 13:45:00,P-103,67.4,5.438,260.47,36.92,1454.9,2.337,2503.7,Normal
2026-01-03 14:00:00,P-101,65.64,5.484,270.72,40.28,1480.3,2.283,2503.72,Normal
2026-01-03 14:15:00,P-101,66.56,5.032,226.82,31.6,1451.5,1.83,2503.74,Normal
2026-01-03 14:30:00,P-102,64.31,4.976,226.55,32.44,1445.3,2.387,2503.75,Normal
2026-01-03 14:45:00,P-102,65.84,5.17,233.99,34.52,1451.8,2.157,2503.76,Normal
2026-01-03 15:00:00,P-104,72.01,5.33,251.88,34.92,1450.8,2.07,2503.78,Normal
2026-01-03 15:15:00,P-101,67.78,5.046,215.96,33.46,1440.2,2.111,2503.8,Normal
2026-01-03 15:30:00,P-104,67.53,5.184,232.53,32.51,1436.7,2.261,2503.81,Normal
2026-01-03 15:45:00,P-103,68.06,5.015,231.56,33.08,1464.3,1.974,2503.82,Normal
2026-01-03 16:00:00,P-102,66.58,5.122,229.35,32.41,1471.7,2.105,2503.84,Normal
2026-01-03 16:15:00,P-102,70.62,5.295,216.05,31.26,1490.8,2.224,2503.86,Normal
2026-01-03 16:30:00,P-103,68.2,5.181,214.0,32.54,1458.2,2.071,2503.87,Normal
2026-01-03 16:45:00,P-104,63.66,5.007,207.47,27.94,1452.1,2.055,2503.89,Normal
2026-01-03 17:00:00,P-102,63.23,5.065,223.21,30.12,1466.2,1.965,2503.9,Normal
2026-01-03 17:15:00,P-103,67.49,4.955,211.37,30.14,1433.7,1.716,2503.92,Normal
2026-01-03 17:30:00,P-103,66.52,4.816,225.46,32.55,1461.6,1.972,2503.93,Normal
2026-01-03 17:45:00,P-101,62.73,4.993,206.42,30.3,1468.7,1.858,2503.95,Normal
2026-01-03 18:00:00,P-104,67.67,4.719,210.8,32.36,1468.4,1.989,2503.96,Normal
2026-01-03 18:15:00,P-101,66.53,5.004,220.25,31.05,1480.0,1.93,2503.98,Normal
2026-01-03 18:30:00,P-101,67.43,4.948,213.7,31.02,1439.2,1.996,2503.99,Normal
2026-01-03 18:45:00,P-101,67.3,4.895,211.26,30.82,1441.1,1.904,2504.0,Normal
2026-01-03 19:00:00,P-102,64.61,5.165,207.04,29.35,1446.1,2.082,2504.02,Normal
2026-01-03 19:15:00,P-101,67.17,5.102,212.31,29.07,1429.9,2.033,2504.04,Normal
2026-01-03 19:30:00,P-102,63.9,4.926,197.3,26.01,1459.7,1.701,2504.05,Normal
2026-01-03 19:45:00,P-104,64.83,4.768,201.56,30.26,1462.2,2.146,2504.06,Normal
2026-01-03 20:00:00,P-101,64.09,5.057,193.41,26.85,1460.1,1.754,2504.08,Normal
